"Anos","state_names","Consumo","","","","",""
"2014","Mato Grosso","5345","","","","",""
"2015","Mato Grosso","5338","","","","",""
"2016","Mato Grosso","5246","","","","",""
"2017","Mato Grosso","5569","","","","",""
"2018","Mato Grosso","5765","","","","",""
"2019","Mato Grosso","6142","","","","",""
"2004","Mato Grosso do sul","3263","","","","",""
"2005","Mato Grosso do sul","3347","","","","",""
"2006","Mato Grosso do sul","3368","","","","",""
"2007","Mato Grosso do sul","3525","","","","",""
"2008","Mato Grosso do sul","3639","","","","",""
"2009","Mato Grosso do sul","3807","","","","",""
"2010","Mato Grosso do sul","4017","","","","",""
"2011","Mato Grosso do sul","4302","","","","",""
"2012","Mato Grosso do sul","4694","","","","",""
"2013","Mato Grosso do sul","5098","","","","",""
"2014","Mato Grosso do sul","5345","","","","",""
"2015","Mato Grosso do sul","5338","","","","",""
"2016","Mato Grosso do sul","5246","","","","",""
"2017","Mato Grosso do sul","5569","","","","",""
"2018","Mato Grosso do sul","5765","","","","",""
"2019","Mato Grosso do sul","6142","","","","",""
"2004","Minas Gerais","45309","","","","",""
"2005","Minas Gerais","45993","","","","",""
"2006","Minas Gerais","45567","","","","",""
"2007","Minas Gerais","49630","","","","",""
"2008","Minas Gerais","48659","","","","",""
"2009","Minas Gerais","45091","","","","",""
"2010","Minas Gerais","51313","","","","",""
"2011","Minas Gerais","53611","","","","",""
"2012","Minas Gerais","53407","","","","",""
"2013","Minas Gerais","53899","","","","",""
"2014","Minas Gerais","54173","","","","",""
"2015","Minas Gerais","52817","","","","",""
"2016","Minas Gerais","54102","","","","",""
"2017","Minas Gerais","54240","","","","",""
"2018","Minas Gerais","56472","","","","",""
"2019","Minas Gerais","55896","","","","",""
"2004","Para","12748","","","","",""
"2005","Para","13048","","","","",""
"2006","Para","13652","","","","",""
"2007","Para","14433","","","","",""
"2008","Para","14931","","","","",""
"2009","Para","14767","","","","",""
"2010","Para","15794","","","","",""
"2011","Para","16653","","","","",""
"2012","Para","16648","","","","",""
"2013","Para","16972","","","","",""
"2014","Para","18406","","","","",""
"2015","Para","19337","","","","",""
"2016","Para","20109","","","","",""
"2017","Para","20293","","","","",""
"2018","Para","18030","","","","",""
"2019","Para","18192","","","","",""
"2004","Paraiba","2891","","","","",""
"2005","Paraiba","3101","","","","",""
"2006","Paraiba","3279","","","","",""
"2007","Paraiba","3412","","","","",""
"2008","Paraiba","3622","","","","",""
"2009","Paraiba","3714","","","","",""
"2010","Paraiba","4181","","","","",""
"2011","Paraiba","4257","","","","",""
"2012","Paraiba","4570","","","","",""
"2013","Paraiba","4910","","","","",""
"2014","Paraiba","5103","","","","",""
"2015","Paraiba","5180","","","","",""
"2016","Paraiba","5189","","","","",""
"2017","Paraiba","5251","","","","",""
"2018","Paraiba","5407","","","","",""
"2019","Paraiba","5587","","","","",""
"2004","Parana","19873","","","","",""
"2005","Parana","20476","","","","",""
"2006","Parana","21274","","","","",""
"2007","Parana","22331","","","","",""
"2008","Parana","23611","","","","",""
"2009","Parana","23904","","","","",""
"2010","Parana","25355","","","","",""
"2011","Parana","26554","","","","",""
"2012","Parana","27790","","","","",""
"2013","Parana","29029","","","","",""
"2014","Parana","30387","","","","",""
"2015","Parana","29861","","","","",""
"2016","Parana","29598","","","","",""
"2017","Parana","30726","","","","",""
"2018","Parana","31309","","","","",""
"2019","Parana","32242","","","","",""
"2004","Pernambuco","7939","","","","",""
"2005","Pernambuco","8498","","","","",""
"2006","Pernambuco","8756","","","","",""
"2007","Pernambuco","9330","","","","",""
"2008","Pernambuco","9730","","","","",""
"2009","Pernambuco","10089","","","","",""
